================ Training Loss (Fri Feb  1 06:04:15 2019) ================
(epoch: 120, iters: 40, time: 2.791, data: 0.002) D_A: 0.302 G_A: 0.550 cycle_A: 0.704 idt_A: 0.248 D_B: 0.064 G_B: 0.273 cycle_B: 0.664 idt_B: 0.277 
(epoch: 123, iters: 20, time: 1.388, data: 0.236) D_A: 0.229 G_A: 0.594 cycle_A: 0.592 idt_A: 0.337 D_B: 0.155 G_B: 0.348 cycle_B: 0.988 idt_B: 0.263 
(epoch: 125, iters: 40, time: 1.391, data: 0.002) D_A: 0.093 G_A: 0.584 cycle_A: 0.576 idt_A: 0.513 D_B: 0.187 G_B: 0.589 cycle_B: 1.237 idt_B: 0.252 
(epoch: 128, iters: 20, time: 1.385, data: 0.514) D_A: 0.121 G_A: 0.623 cycle_A: 0.622 idt_A: 0.695 D_B: 0.089 G_B: 0.943 cycle_B: 1.950 idt_B: 0.219 
(epoch: 130, iters: 40, time: 2.927, data: 0.002) D_A: 0.392 G_A: 0.292 cycle_A: 1.140 idt_A: 0.287 D_B: 0.358 G_B: 0.098 cycle_B: 0.676 idt_B: 0.474 
(epoch: 133, iters: 20, time: 1.388, data: 0.616) D_A: 0.396 G_A: 0.399 cycle_A: 1.185 idt_A: 0.410 D_B: 0.486 G_B: 0.473 cycle_B: 1.144 idt_B: 0.338 
(epoch: 135, iters: 40, time: 1.397, data: 0.002) D_A: 0.115 G_A: 0.639 cycle_A: 0.601 idt_A: 0.426 D_B: 0.164 G_B: 0.280 cycle_B: 1.262 idt_B: 0.245 
(epoch: 138, iters: 20, time: 1.387, data: 0.246) D_A: 0.306 G_A: 0.319 cycle_A: 0.437 idt_A: 0.289 D_B: 0.215 G_B: 0.372 cycle_B: 0.700 idt_B: 0.196 
(epoch: 140, iters: 40, time: 3.000, data: 0.002) D_A: 0.058 G_A: 0.599 cycle_A: 0.678 idt_A: 0.364 D_B: 0.235 G_B: 1.404 cycle_B: 1.054 idt_B: 0.269 
(epoch: 143, iters: 20, time: 1.386, data: 0.643) D_A: 0.225 G_A: 0.210 cycle_A: 0.722 idt_A: 0.526 D_B: 0.179 G_B: 0.536 cycle_B: 1.939 idt_B: 0.277 
